ॐ { ओंकार }	Oṃ  { oṃkāra }	phrase	Om  [ āum, Omkara ]
अआशयति { अश् }	aāśayati  { aś }	verb caus.	cause to eat
अआशयति { अश् }	aāśayati  { aś }	verb caus.	feed  
अक	aka	n.	unhappiness
अकच	akaca	adj.	bald  [ hairless ]
अकच	akaca	adj.	hairless  [ bald ]
अकटुक	akaṭuka	adj.	not acrid
अकटुक	akaṭuka	adj.	unwearied
अकठोर	akaṭhora	adj.	not hard
अकठोर	akaṭhora	adj.	weak
अकणक	akaṇaka	adj.	without red particles adhering to the rice husks
अकण्टक	akaṇṭaka	adj.	free from troubles or difficulties or enemies
अकण्टक	akaṇṭaka	adj.	thornless
अकण्ठ	akaṇṭha	adj.	hoarse
अकति	akati	verb	move tortuously like a snake
अकथह	akathaha	n.	kind of diagram
अकन्या	akanyā	f.	not a virgin
अकम्पत { कम्प् }	akampata  { kamp }	imperfect	he trembled
अकम्पित	akampita	adj.	unshaken
अकर	akara	adj.	exempt from tax or duty
अकर	akara	adj.	handless
अकर	akara	adj.	maimed
अकर	akara	adj.	privileged
अकर { कृ }	akara  { kṛ }	adj.	tax-free
अकरणि	akaraṇi	f.	disappointment
अकरणि	akaraṇi	f.	failure
अकरणि	akaraṇi	f.	non-accomplishment
अकरवम् { कृ }	akaravam  { kṛ }	verb 8	ī did
अकरा	akarā	f.	īndian gooseberry or aamlaa tree  [ Emblic ṃyrobalan - Bot. ]
अकरा	akarā	f.	īndian gooseberry  [ Phyllanthus Emblica - Bot. ]
अकरुण	akaruṇa	adj.	merciless
अकरुण	akaruṇa	adj.	relentless
अकरुणत्व	akaruṇatva	n.	cruelty
अकरुणत्व	akaruṇatva	n.	harshness
अकरोत् { कृ }	akarot  { kṛ }	verb 8	he did
अकर्कश	akarkaśa	adj.	not hard
अकर्कश	akarkaśa	adj.	tender
अकर्ण	akarṇa	adj.	deaf
अकर्ण	akarṇa	adj.	having diminutive ears
अकर्ण	akarṇa	adj.	without ears
अकर्ण	akarṇa	adj.	without helm or rudder
अकर्ण	akarṇa	adj.	without karṇa
अकर्णक	akarṇaka	adj.	without ears
अकर्णधार	akarṇadhāra	adj.	destitute of a pilot
अकर्णधार	akarṇadhāra	adj.	without a helmsman
अकर्तन	akartana	m.	dwarf
अकर्तयत् { कर्त् }	akartayat  { kart }	imperfect	he cut
अकर्तृ	akartṛ	m.	name applied to the puruṣa
अकर्तृ	akartṛ	m.	not active
अकर्तृ	akartṛ	m.	not an agent
अकर्तृत्व	akartṛtva	n.	state of non-agency
अकर्मण्य	akarmaṇya	adj.	improper to be done
अकर्मण्य	akarmaṇya	adj.	inefficient
अकर्मण्य	akarmaṇya	adj.	unfit for work
अकर्मण्य	akarmaṇya	adj.	useless
अकर्मन्	akarman	adj.	idle
अकर्मन्	akarman	adj.	inefficient
अकर्मन्	akarman	adj.	intransitive
अकर्मन्	akarman	adj.	not performing good works
अकर्मन्	akarman	adj.	not working
अकर्मन्	akarman	adj.	wicked
अकर्मन्	akarman	adj.	without work
अकर्मन्	akarman	n.	absence of work
अकर्मन्	akarman	n.	crime
अकर्मन्	akarman	n.	improper act
अकर्मन्	akarman	n.	improper work
अकर्मन्	akarman	n.	inaction
अकर्मन्	akarman	n.	observances
अकर्मन्	akarman	n.	sin
अकल	akala	adj.	entire
अकल	akala	adj.	not in parts
अकल	akala	adj.	not skilled in the arts
अकलङ्क	akalaṅka	adj.	without stains or spots
अकलित	akalita	adj.	immeasurable
अकलित	akalita	adj.	incomprehensible
अकलित	akalita	adj.	not endowed
अकलित	akalita	adj.	not furnished
अकलुष	akaluṣa	adj.	stainless
अकलुषवज्रायस	akaluṣavajrāyasa	n.	stainless steel
अकलुष-वज्रायस-पात्री	akaluṣa-vajrāyasa-pātrī	f.	dish
अकलुष-वज्रायस-पात्री	akaluṣa-vajrāyasa-pātrī	f.	stainless steel basin
अकलुष-वज्रायस-पात्री	akaluṣa-vajrāyasa-pātrī	f.	vessel
अकल्कता	akalkatā	f.	honesty
अकल्कन	akalkana	adj.	honorable
अकल्कन	akalkana	adj.	not deceitful
अकल्का	akalkā	f.	moonlight
अकल्प	akalpa	adj.	not admitting
अकल्प	akalpa	adj.	not subject to rules
अकल्प	akalpa	adj.	unable to
अकल्प	akalpa	adj.	uncontrolled
अकल्पित	akalpita	adj.	genuine
अकल्पित	akalpita	adj.	natural
अकल्पित	akalpita	adj.	not artificial
अकल्पित	akalpita	adj.	not manufactured
अकल्पित	akalpita	adj.	not pretended
अकल्मष	akalmaṣa	adj.	clean
अकल्मष	akalmaṣa	adj.	impeccable
अकल्मष	akalmaṣa	adj.	not sinful
अकल्मष	akalmaṣa	adj.	not wicked
अकल्मष	akalmaṣa	adj.	spotless
अकल्मष	akalmaṣa	adj.	unstained
अकल्य	akalya	adj.	ill
अकल्य	akalya	adj.	not to be guessed
अकल्य	akalya	adj.	sick
अकल्य	akalya	adj.	true
अकल्याण	akalyāṇa	adj.	inauspicious
अकल्याण	akalyāṇa	adj.	not handsome
अकल्याण	akalyāṇa	n.	adversity
अकव	akava	adj.	not contemptible
अकव	akava	adj.	not stingy
अकवच	akavaca	adj.	having no coat of mail
अकवारि	akavāri	adj.	not stingy
अकवि	akavi	adj.	unwise
अकस्मात्	akasmāt	indecl.	abruptly
अकस्मात्	akasmāt	indecl.	accidentally  [ unexpectedly ]
अकस्मात्	akasmāt	ind.	suddenly
अकस्मात्	akasmāt	ind.	without a why or a wherefore
अकाण	akāṇa	adj.	not one eyed
अकाण्ड	akāṇḍa	adj.	causeless
अकाण्ड	akāṇḍa	adj.	unexpected
अकाण्डशूल	akāṇḍaśūla	n.	acute pain
अकाण्डशूल	akāṇḍaśūla	n.	sudden pain
अकाण्डे	akāṇḍe	ind.	unexpectedly
अकाण्डे	akāṇḍe	ind.	without any cause
अकाम	akāma	adj.	reluctant
अकाम	akāma	adj.	sandhi which causes dropping of a final r before a succeeding r
अकामतस्	akāmatas	ind.	unwillingly
अकामहत	akāmahata	adj.	calm
अकामहत	akāmahata	adj.	unaffected with desire
अकायिका	akāyikā	f.	kind of game
