ॐ	Oṃ	phrase
अकम्पत	akampata	imperfect
अकर्तयत्	akartayat	imperfect
अकाशत्	akāśat	imperfect
अखथयत्	akhathayat	imperfect
अग्रिमं निस्थानं अस्माकं वा?	agrimaṃ nisthānaṃ asmākaṃ vā?	sent.
अग्रे	agre	loc.
अग्रे गच्छतु	agre gacchatu	sent.
अङ्कद्वयेन प्रथमश्रेणी न लब्धा	aṅkadvayena prathamaśreṇī na labdhā	sent.
अङ्कन्या मास्तु, लेखन्या लिखतु	aṅkanyā māstu, lekhanyā likhatu	sent.
अङ्कयतु	aṅkayatu	imperative
अचिरदर्शनाय	aciradarśanāya	sentence
अञ्चलः बहु सम्यक् अस्ति	añcalaḥ bahu samyak asti	sent.
अतिथ्यः आगताः सन्ति	atithyaḥ āgatāḥ santi	sent.
अतिपूष्टिर्बभूव	atipūṣṭirbabhūva	phrase
अतीव सुलभा आसीत्	atīva sulabhā āsīt	sent.
अत्र आगच्छ	atra āgaccha	sent.
अत्र आसनपरिग्रहं करोतु भवान्	atra āsanaparigrahaṃ karotu bhavān	sentence
अत्र उपविश	atra upaviśa	sent.
अत्र तस्य एव सर्वाधिकारः	atra tasya eva sarvādhikāraḥ	sent.
अत्र तिष्ठ	atra tiṣṭha	sentence
अत्र पत्रालयः कुत्र अस्ति?	atra patrālayaḥ kutra asti?	sent.
अत्र वायुः सुष्ठु वाति	atra vāyuḥ suṣṭhu vāti	sent.
अत्र विश्रामं कुरु	atra viśrāmaṃ kuru	sentence
अत्र हस्ताक्षरं स्थापयतु	atra hastākṣaraṃ sthāpayatu	sent.
अत्रैव कलाशालायां पठामि	atraiva kalāśālāyāṃ paṭhāmi	sent.
अत्रैव किञ्चित् कार्यं अस्ति	atraiva kiñcit kāryaṃ asti	sent.
अत्रैव कुत्रचित् स्यात्, अन्वेषणं कुर्मः	atraiva kutracit syāt, anveṣaṇaṃ kurmaḥ	sent.
अथ किम्?	atha kim?	expr.
अथ किम्?	atha kim?	sent.
अथ किम् ?	atha kim ?	sent.
अथवा	athavā	phrase
अद्य अपि सारः एव?	adya api sāraḥ eva?	sent.
अद्य अस्माकं कृते काफी अस्ति वा?	adya asmākaṃ kṛte kāphī asti vā?	sent.
अद्य आसीत् किम् ?	adya āsīt kim ?	sentence
अद्य आसीत् वा?	adya āsīt vā?	sent.
अद्य उत्थाने विलम्बः अभवत्	adya utthāne vilambaḥ abhavat	sent.
अद्य उत्थाने विलम्बः सञ्जातः	adya utthāne vilambaḥ sañjātaḥ	sent.
अद्य एतावदेव पर्याप्तम्	adya etāvadeva paryāptam	sent.
अद्य एव दातव्यं वा?	adya eva dātavyaṃ vā?	sent.
अद्य एव वा?	adya eva vā?	expr.
