अकालिकम्	akālikam	adverb
अक्षरशः	akṣaraśaḥ	adverb
अगदङ्कार	agadaṅkāra	interj.
अग्रशस्	agraśas	adv.
अग्रे	agre	adverb
अङ्कयितुम्	aṅkayitum	infinit.
अङ्कयित्वा	aṅkayitvā	gerund
अजातव्यथम्	ajātavyatham	adverb
अज्ञानेन	ajñānena	adverb
अटितुम्	aṭitum	infinitive
अटित्वा	aṭitvā	ger.
अटित्वा	aṭitvā	gerund
अतस्	atas	adverb
अति	ati	adverb
अति -	ati -	prefix
अतितराम्	atitarām	adverb
अतितेजसा	atitejasā	adverb
अतिद्रुतम्	atidrutam	adverb
अतिमात्रम्	atimātram	adverb
अतिमात्रशः	atimātraśaḥ	adverb
अतिविलम्बितम्	ativilambitam	adverb
अतीतकाले	atītakāle	adverb
अतीतायां रात्रौ	atītāyāṃ rātrau	adverb
अत्यधिकम्	atyadhikam	adverb
अत्यन्तम्	atyantam	adverb
अत्युत्कटम्	atyutkaṭam	adverb
अत्रानागत्य	atrānāgatya	adverb
अत्रान्तरे	atrāntare	adverb
अथ कदाचित्	atha kadācit	adverb
अद्यप्रभृति	adyaprabhṛti	adverb
अधस्तात्	adhastāt	adverb
अधि	adhi	prep.
अधिनु	adhinu	adverb
अनन्तम्	anantam	adverb
अनर्थकम्	anarthakam	adverb
अनावृतमस्तकम्	anāvṛtamastakam	adverb
अनिच्छया	anicchayā	adverb
अनिर्दय	anirdaya	adverb
अनु-	anu-	prefix
अनु	anu	prep.
अनुकेन्द्र	anukendra	adverb
अनुगुणम्	anuguṇam	adverb
अनुपपन्नम्	anupapannam	adverb
अनुभूय	anubhūya	gerund
अनुस्मरन्	anusmaran	gerund
अनेकधा	anekadhā	adverb
अनेकवारम्	anekavāram	adverb
अन्ततः	antataḥ	adverb
अन्तरा	antarā	prep.
अन्तर्	antar	prep.
अन्यतस्	anyatas	adverb
अन्यता	anyatā	adverb
अन्यत्र	anyatra	conj.
अप	apa	prefix
अपक्षपातेन	apakṣapātena	adverb
अपघर्षनम्	apagharṣanam	adverb
अपप्रजनयित्वा	apaprajanayitvā	absolut.
अपरत्र	aparatra	adverb
अपरं च	aparaṃ ca	adverb
अपशङ्कम्	apaśaṅkam	adverb
अपेक्षया	apekṣayā	adverb
अप्रकाशम्	aprakāśam	adverb
अभितः	abhitaḥ	adverb
अभिमुखम्	abhimukham	adverb
अभिषिच्य	abhiṣicya	gerund
अभीके	abhīke	adverb
अभीक्ष्णम्	abhīkṣṇam	adverb
अर्चितुम्	arcitum	infinitive
अर्चित्वा	arcitvā	gerund
अर्जितुम्	arjitum	infinitive
अर्जित्वा	arjitvā	gerund
अर्तुम्	artum	infinitive
अर्थयितुम्	arthayitum	infinitive
अर्थयित्वा	arthayitvā	gerund
अलक्षितम्	alakṣitam	adverb
अल्पम्	alpam	adverb
अवतीर्य	avatīrya	gerund
अवधानतः	avadhānataḥ	adverb
अवप्लुत्य	avaplutya	gerund
अवमूल्ये	avamūlye	adverb
अवरार्धम्	avarārdham	adverb
अवलोक्य	avalokya	gerund
अवश्यमेव	avaśyameva	adverb
अवश्यम्	avaśyam	adverb
अवाप्य	avāpya	gerund
अविचारेण	avicāreṇa	adverb
अवित्त्वा	avittvā	gerund
अविरतम्	aviratam	adverb
अवेक्षया	avekṣayā	adverb
अशा	aśā	prep.
अशिथिलम्	aśithilam	adverb
अशुद्धम्	aśuddham	adverb
अशेषतः	aśeṣataḥ	adverb
असङ्गतम्	asaṅgatam	adverb
असमाप्य	asamāpya	gerund
असम्बद्धम्	asambaddham	adverb
असंशयम्	asaṃśayam	adverb
अस्पष्टम्	aspaṣṭam	adverb
अहर्निशम्	aharniśam	adverb
अहो	aho	interj.
आगत	āgata	gerund
आदरात्	ādarāt	adv.
आदरेण	ādareṇa	adv.
आदाय	ādāya	gerund
आदौ	ādau	adverb
आनन्देन	ānandena	adverb
आनुषङ्गिकम्	ānuṣaṅgikam	adverb
आप्तुम्	āptum	infinitive
आप्त्वा	āptvā	gerund
आमूलम्	āmūlam	adverb
आमूलम्	āmūlam	adv.
आरोढुं	āroḍhuṃ	infinit.
आविस्	āvis	adverb
आवेष्टितम्	āveṣṭitam	adverb
आशा	āśā	prep.
आशु	āśu	adverb
आश्चर्यवत्	āścaryavat	adverb
आसक्ति	āsakti	adverb
इतरेतर	itaretara	adv.
इतस्ततः	itastataḥ	adverb
इति	iti	adverb
इतः	itaḥ	adverb
इत्थम्	ittham	adverb
इव	iva	adverb
इष्त्वा	iṣtvā	gerund
इह	iha	adverb
ईषत्	īṣat	adverb
ईषन्	īṣan	adverb
उच्चैः	uccaiḥ	adverb
उज्ज्वलम्	ujjvalam	adverb
उत	uta	conj.
उत्कटम्	utkaṭam	adverb
उत्कनितुम्	utkanitum	infinitive
उत्कूलम्	utkūlam	adverb
उत्तरत्र	uttaratra	adverb
उत्थाय	utthāya	gerund
उत्पथम्	utpatham	adverb
		prefix
उद्	ud	prefix
उद्दामम्	uddāmam	adverb
उद्धतम्	uddhatam	adverb
उद्भिद्-	udbhid-	prefix
उन्मत्त	unmatta	adverb
उन्मत्तवत्	unmattavat	adverb
उप	upa	adverb
उप	upa	prefix
उपरि	upari	adverb
उपरोधम्	uparodham	adverb
उपांशु	upāṃśu	adverb
उरु	uru	adverb
उषित्वा	uṣitvā	gerund
उष्ट्वा	uṣṭvā	absolut.
उष्णस्	uṣṇas	adverb
ऊर्ध्वस्	ūrdhvas	adverb
ऋजु	ṛju	adverb
ऋत्वा	ṛtvā	gerund
एकदा	ekadā	adverb
एकपदे	ekapade	adverb
एकपादे	ekapāde	adverb
एकशस्	ekaśas	adverb
एकस्थ	ekastha	adverb
एकाग्रचित्तेन	ekāgracittena	adverb
एकान्ततः	ekāntataḥ	adverb
एकावसरम्	ekāvasaram	adverb
एकीभूय	ekībhūya	adverb
एकैकशः	ekaikaśaḥ	adverb
एतदर्थम्	etadartham	adverb
एव	eva	adverb
एवमस्तु	evamastu	adverb
एवम्	evam	adverb
एवम् अस्तु	evam astu	adverb
एषितुम्	eṣitum	infinitive
ऐतिहासिकम्	aitihāsikam	adverb
ओम्	om	adverb
ओषधिसम्बन्धिन्	oṣadhisambandhin	adverb
ओषितुम्	oṣitum	infinit.
औम्	aum	adverb
कथञ्चन	kathañcana	adv.
कथञ्चिद्	kathañcid	adverb
कथमपि	kathamapi	adverb
कथयितुम्	kathayitum	infinitive
कथयित्वा	kathayitvā	gerund
कथं कथमपि	kathaṃ kathamapi	adverb
कदा	kadā	adverb
कदापि	kadāpi	adverb
कद्	kad	adverb
कम्	kam	adverb
कम्पितुम्	kampitum	infinitive
कम्पित्वा	kampitvā	gerund
करणेन	karaṇena	conj.
कर्तयितुम्	kartayitum	infinitive
कर्तयित्वा	kartayitvā	gerund
कल्प	kalpa	adverb
कल्पम्	kalpam	adverb
कष्टम्	kaṣṭam	adverb
कष्टेन	kaṣṭena	adverb
कामतः	kāmataḥ	adverb
कामम्	kāmam	adverb
कामात्	kāmāt	adverb
काले	kāle	adverb
काले काले	kāle kāle	adverb
काशितुम्	kāśitum	infinitive
काशित्वा	kāśitvā	gerund
किञ्चित्	kiñcit	adverb
किन्ञ्चित्	kinñcit	adverb
किन्तु	kintu	conj.
किल	kila	adverb
किं तु	kiṃ tu	conj.
किं स्विद्	kiṃ svid	adv.
कुटिलम्	kuṭilam	adverb
कुतूहलात्	kutūhalāt	adverb
कुतः	kutaḥ	interr.
कृच्छ्रेण	kṛcchreṇa	adverb
कृत्वा	kṛtvā	gerund
कृपया	kṛpayā	adverb
कोशान्तर्गतम्	kośāntargatam	adverb
कौटिल्येन	kauṭilyena	adverb
क्रमतस्	kramatas	adv.
क्रमशस्	kramaśas	adverb
क्रमशः	kramaśaḥ	adverb
क्रमित्वा	kramitvā	gerund
क्रमेण	krameṇa	adverb
क्रान्त्वा	krāntvā	gerund
क्रीत्वा	krītvā	gerund
क्रुद्ध्वा	kruddhvā	gerund
क्वचिद्	kvacid	adverb
