अकति	akati	verb
अक्षति	akṣati	verb
अक्षिष्यति	akṣiṣyati	verb
अक्ष्णोति	akṣṇoti	verb
अगति	agati	verb
अगद्यति	agadyati	verb
अगृह्णात्	agṛhṇāt	verb
अग्निसात्करोति	agnisātkaroti	verb
अग्रणी करोति	agraṇī karoti	verb
अग्रतः करोति	agrataḥ karoti	verb
अघायति	aghāyati	verb
अङ्कते	aṅkate	verb
अङ्कयति	aṅkayati	verb
अङ्कयिष्यति	aṅkayiṣyati	future
अङ्कीकरोति	aṅkīkaroti	verb
अङ्कुरयति	aṅkurayati	verb
अङ्खयति	aṅkhayati	verb
अङ्ख्यति	aṅkhyati	verb
अङ्गति	aṅgati	verb
अङ्गारसात् करोति	aṅgārasāt karoti	verb
अङ्गीकरोति	aṅgīkaroti	verb
अङ्घते	aṅghate	verb
अचति	acati	verb
अचालयत्	acālayat	verb
अच्छागम्	acchāgam	verb
अच्छाचरति	acchācarati	verb
अजति	ajati	verb
अजिरायते	ajirāyate	verb
अञ्चति	añcati	verb
अञ्चयति	añcayati	verb
अटतु	aṭatu	verb
अटिष्यति	aṭiṣyati	verb
अट्टते	aṭṭate	verb
अट्टायते	aṭṭāyate	verb
अठति / ते	aṭhati / te	verb
अड्डति	aḍḍati	verb
अणति	aṇati	verb
अणूभू	aṇūbhū	verb
अण्ठते	aṇṭhate	verb
अण्यते	aṇyate	verb
अतिकुप्यति	atikupyati	verb
अतिकूर्दति	atikūrdati	verb
अतिकृष्	atikṛṣ	verb
अतिक्रामति	atikrāmati	verb1
अतिक्रामति	atikrāmati	verb
अतिक्षरति	atikṣarati	verb
अतिख्याति	atikhyāti	verb
अतिगमति	atigamati	verb
अतिगरीयः क्रीणाति	atigarīyaḥ krīṇāti	verb
अतिगर्जति	atigarjati	verb
अतिगुरते	atigurate	verb
अतिगृह्णाति	atigṛhṇāti	verb
अतिचरति	aticarati	verb
अतिचिरयति	aticirayati	verb
अतिचृतति	aticṛtati	verb
अतिचेष्टति	aticeṣṭati	verb
अतिजयति	atijayati	verb
अतितरति	atitarati	verb
अतितिष्ठति	atitiṣṭhati	verb
अतितृणत्ति	atitṛṇatti	verb
अतितृप्यति	atitṛpyati	verb
अतिदघ्यति	atidaghyati	verb
अतिदधाति	atidadhāti	verb
अतिदहति	atidahati	verb
अतिदीव्यति	atidīvyati	verb
अतिदृप्यति	atidṛpyati	verb
अतिद्रवति	atidravati	verb
अतिध्यै	atidhyai	verb
अतिपतति	atipatati	verb
अतिपदति	atipadati	verb
अतिपिपर्ति	atipiparti	verb
अतिपूर्यति	atipūryati	verb
अतिप्रज्वलति	atiprajvalati	verb
अतिप्रवते	atipravate	verb
अतिप्रवयति	atipravayati	verb
अतिप्रशंसति	atipraśaṃsati	verb
अतिप्रसर्सृते	atiprasarsṛte	verb
अतिबाधते	atibādhate	verb
अतिब्रवीति	atibravīti	verb
अतिब्रिहति	atibrihati	verb
अतिभवति	atibhavati	verb
अतिभूषति	atibhūṣati	verb
अतिमन्यते	atimanyate	verb
अतिमुच्यते	atimucyate	verb
अतियाति	atiyāti	verb
अतिरिच्यते	atiricyate	verb
अतिरेचयति	atirecayati	verb
अतिरेच्यते	atirecyate	verb
अतिरोहति	atirohati	verb
अतिलङ्घयति	atilaṅghayati	verb
अतिवदति	ativadati	verb
अतिवयति	ativayati	verb
अतिवर्धते	ativardhate	verb
अतिवाहयति	ativāhayati	verb
अतिविलोडयति	ativiloḍayati	verb
अतिवेति	ativeti	verb
अतिशङ्कते	atiśaṅkate	verb
अतिशिनष्टि	atiśinaṣṭi	verb
अतिशोभते	atiśobhate	verb
अतिश्लिष्यति	atiśliṣyati	verb
अतिसन्दधाति	atisandadhāti	verb
अतिसार्यते	atisāryate	verb
अतिसृजति	atisṛjati	verb
अतिस्रंसते	atisraṃsate	verb
अत्यर्जति / -ते	atyarjati / -te	verb
अत्यस्यति	atyasyati	verb
अत्यायतते	atyāyatate	verb
अत्युक्षति / -ते	atyukṣati / -te	verb
अत्युत्क्रामति	atyutkrāmati	verb
अत्यूहति / -ते	atyūhati / -te	verb
अत्येति	atyeti	verb
अत्स्यति	atsyati	verb
अथर्य	atharya	verb
अदृप्त	adṛpta	verb
अधिईक्षते	adhiīkṣate	verb
अधिकतमं करोति	adhikatamaṃ karoti	verb
अधि करोति	adhi karoti	verb
अधिकारं करोति	adhikāraṃ karoti	verb
अधिक्रामति	adhikrāmati	verb
अधिगणयति	adhigaṇayati	verb
अधिगापयति	adhigāpayati	verb
